x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,STN_ID
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.18,4/18/2010 0:00,ON,2010,4,18,8.1,,2.5,,13.6,,0,,,M,,M,,,,M,43,,0,,9.9,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.19,4/19/2010 0:00,ON,2010,4,19,7.6,,-0.5,,15.6,,0,,,M,,M,,,,M,35,,0,,10.4,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.20,4/20/2010 0:00,ON,2010,4,20,9.1,,0.1,,18.1,,0,,,M,,M,,,0,,0,,0,,8.9,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.21,4/21/2010 0:00,ON,2010,4,21,,M,-0.4,E,,M,0,,,M,,M,,,0,,0,,,M,,M,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.22,4/22/2010 0:00,ON,2010,4,22,6.4,,0.3,,12.5,,0,,,M,,M,,,,M,35,,0,,11.6,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.23,4/23/2010 0:00,ON,2010,4,23,6.6,,-3,,16.2,,0,,,M,,M,,,0,,0,,0,,11.4,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.24,4/24/2010 0:00,ON,2010,4,24,8.3,,-0.3,,16.9,,0,,,M,,M,,,,M,39,,0,,9.7,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.25,4/25/2010 0:00,ON,2010,4,25,8.1,,6.6,,9.6,,11.9,,,M,,M,,,,M,50,,0,,9.9,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.26,4/26/2010 0:00,ON,2010,4,26,10.6,,2.8,,18.3,,0,,,M,,M,,,,M,52,,0,,7.4,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.27,4/27/2010 0:00,ON,2010,4,27,4.9,,0.4,,9.4,,0,,,M,,M,,,,M,61,,0,,13.1,,,,48569
-80.37861111,43.46083333,KITCHENER/WATERLOO,6144239,6144239.2010.4.28,4/28/2010 0:00,ON,2010,4,28,6.4,,0.7,,12,,0,,,M,,M,,,,M,65,,0,,11.6,,,,48569
