x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE,STN_ID
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.1,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,682,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,1,-6.47,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.2,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,621,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,2,-5.46,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.3,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,681,,0,99.85,Mean daily temperature deg C,Température moyenne quotidienne en degree C,3,-1,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.4,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,660,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,4,6.15,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.5,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,681,,0,99.85,Mean daily temperature deg C,Température moyenne quotidienne en degree C,5,12.47,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.6,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,660,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,6,17.56,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.7,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,682,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,7,20.03,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.8,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,682,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,8,18.89,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.9,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,660,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,9,14.54,4832
-80.38333333333334,43.45,WATERLOO WELLINGTON A,6149387,4832.1.10,NORM,Y,C,1,1,2012-10-19 20:14:22,,ON,1981,2010,,1981,,2002,22,682,,0,100,Mean daily temperature deg C,Température moyenne quotidienne en degree C,10,8.24,4832
