year,month,month_str,n_days,n_valid_temp,missing_days,Tmean,Tmin,Tmax,ADD,FI,FD,FTC,FI_cum,TI,TD,TIG,TDG,RI,RD,PREC
1996,1,1996-01,31,31,0,-7.465,-11.816,-3.068,8.748,-246.4,27,10,-246.4,15.0,4,9.5,10.4,57.0,28.34,92.0
1996,2,1996-02,29,29,0,-6.572,-10.397,-2.731,7.666,-213.1,18,9,-459.5,22.5,11,8.7,9.8,34.2,4.46,55.0
1996,3,1996-03,31,31,0,-3.626,-8.403,1.174,9.577,-144.2,22,16,-603.7,31.8,9,7.6,11.2,2.6,-34.21,37.8
1996,4,1996-04,30,30,0,3.937,-0.83,8.67,9.5,-15.4,7,16,-619.1,133.5,23,6.3,6.8,111.4,43.42,130.6
1996,5,1996-05,31,31,1,11.134,5.369,16.955,11.585,0.0,0,2,-619.1,345.15,31,6.0,9.4,106.8,25.0,106.8
1996,6,1996-06,30,30,0,18.307,13.667,22.897,9.23,0.0,0,0,-619.1,549.2,30,5.6,2.7,128.2,45.81,128.2
1996,7,1996-07,31,31,0,18.742,13.132,24.306,11.174,0.0,0,0,-619.1,581.0,31,4.7,7.1,91.8,-6.75,91.8
1996,8,1996-08,31,31,0,19.581,13.077,26.039,12.961,0.0,0,0,-619.1,607.0,31,3.7,4.2,43.1,-40.82,43.1
1996,9,1996-09,30,30,0,15.013,9.903,20.06,10.157,0.0,0,0,-619.1,450.4,30,5.5,3.7,154.6,66.81,154.6
1996,10,1996-10,31,31,0,8.277,3.297,13.216,9.919,0.0,0,6,0.0,256.6,31,9.5,9.5,59.2,-6.89,59.2
1996,11,1996-11,30,30,0,-0.27,-3.72,3.19,6.91,-57.3,18,15,-57.3,49.2,12,6.5,6.4,22.0,-53.02,40.2
1996,12,1996-12,31,31,0,-1.242,-3.894,1.419,5.313,-67.8,15,18,-125.1,29.3,15,6.3,9.0,61.6,23.58,103.7
1997,1,1997-01,31,31,0,-7.094,-11.452,-2.69,8.761,-237.0,26,6,-362.1,17.1,5,11.5,10.2,36.6,7.94,89.2
1997,2,1997-02,28,28,0,-3.964,-8.286,0.396,8.682,-129.8,22,10,-491.9,18.8,6,14.1,10.0,71.2,41.46,87.5
1997,3,1997-03,31,31,0,-1.971,-6.21,2.281,8.49,-96.6,20,16,-588.5,35.5,11,8.9,9.1,61.5,24.69,111.7
1997,4,1997-04,30,30,0,4.937,-0.717,10.537,11.253,-9.9,3,16,-598.4,158.0,27,4.9,11.7,21.7,-46.28,25.5
1997,5,1997-05,31,31,0,8.677,3.442,13.858,10.416,0.0,0,4,-598.4,269.0,31,5.7,6.7,88.6,6.8,88.6
1997,6,1997-06,30,30,0,18.667,12.327,24.95,12.623,0.0,0,0,-598.4,560.0,30,7.7,6.0,71.7,-10.69,71.7
1997,7,1997-07,31,31,0,19.216,13.371,25.019,11.648,0.0,0,0,-598.4,595.7,31,3.8,6.7,66.0,-32.55,66.0
1997,8,1997-08,31,31,0,17.113,11.158,23.013,11.855,0.0,0,0,-598.4,530.5,31,4.4,7.0,84.6,0.68,84.6
1997,9,1997-09,30,30,0,14.34,8.647,19.977,11.33,0.0,0,0,-598.4,430.2,30,7.0,5.4,78.4,-9.39,78.4
1997,10,1997-10,31,31,0,8.732,3.319,14.1,10.781,-0.2,1,10,-0.2,270.9,30,9.2,6.9,43.5,-22.59,55.3
1997,11,1997-11,30,30,2,1.062,-2.317,4.485,6.802,-33.25,13,14,-33.45,65.1,17,5.0,4.4,44.0,-31.02,64.4
1997,12,1997-12,31,31,0,-2.345,-5.158,0.477,5.635,-81.4,24,19,-114.85,8.7,7,6.3,6.1,23.0,-15.02,42.8
1998,1,1998-01,31,31,0,-3.058,-6.132,0.045,6.177,-121.9,24,13,-236.75,27.1,7,7.7,6.4,74.3,45.64,105.8
1998,2,1998-02,28,28,0,-1.539,-5.418,2.314,7.732,-62.0,14,19,-298.75,18.9,14,4.4,7.5,32.0,2.26,32.4
1998,3,1998-03,31,31,1,0.99,-3.103,5.066,8.169,-71.3,16,16,-370.05,102.0,15,10.6,6.0,64.2,27.39,95.4
1998,4,1998-04,30,30,0,7.6,1.687,13.467,11.78,0.0,0,11,-370.05,228.0,30,4.9,4.8,53.8,-14.18,53.8
