window,model,scenario,mean_rate_ci,mean_rate_ci_lo,mean_rate_ci_hi,mean_rate_di,mean_rate_di_lo,mean_rate_di_hi,pct_change_ci,pct_change_di
2026-2055,CanESM5,ssp126,0.2895,0.0,0.9384,0.0542,0.0,0.1923,-16.4,-18.2
2026-2055,CanESM5,ssp245,0.2806,0.0,0.9135,0.0536,0.0,0.1902,-19.0,-19.1
2026-2055,CanESM5,ssp370,0.2786,0.0,0.9056,0.0533,0.0,0.1902,-19.5,-19.5
2026-2055,CanESM5,ssp585,0.2728,0.0,0.8873,0.053,0.0,0.1879,-21.2,-20.0
2026-2055,MIROC6,ssp126,0.3004,0.0,0.971,0.0567,0.0,0.2,-13.2,-14.4
2026-2055,MIROC6,ssp245,0.3018,0.0,0.9755,0.0568,0.0,0.2002,-12.8,-14.3
2026-2055,MIROC6,ssp370,0.3092,0.0004,0.9997,0.0581,0.0,0.2043,-10.7,-12.4
2026-2055,MIROC6,ssp585,0.3143,0.0002,1.0131,0.0589,0.0,0.2068,-9.2,-11.1
2041-2070,CanESM5,ssp126,0.2831,0.0,0.9199,0.0533,0.0,0.1896,-18.3,-19.6
2041-2070,CanESM5,ssp245,0.27,0.0,0.8822,0.053,0.0,0.1883,-22.0,-20.0
2041-2070,CanESM5,ssp370,0.2534,0.0,0.8311,0.0512,0.0,0.1837,-26.8,-22.8
2041-2070,CanESM5,ssp585,0.2504,0.0,0.8217,0.0516,0.0,0.1829,-27.7,-22.2
2041-2070,MIROC6,ssp126,0.3006,0.0,0.9721,0.0573,0.0,0.202,-13.2,-13.6
2041-2070,MIROC6,ssp245,0.3003,0.0002,0.971,0.0573,0.0,0.2012,-13.2,-13.6
2041-2070,MIROC6,ssp370,0.29,0.0,0.9413,0.056,0.0,0.1985,-16.2,-15.6
2041-2070,MIROC6,ssp585,0.2883,0.0,0.9356,0.0562,0.0,0.1988,-16.7,-15.3
2071-2100,CanESM5,ssp126,0.2745,0.0,0.8933,0.0524,0.0,0.1869,-20.7,-21.0
2071-2100,CanESM5,ssp245,0.2517,0.0,0.8261,0.051,0.0,0.1828,-27.3,-23.1
2071-2100,CanESM5,ssp370,0.2304,0.0,0.7611,0.0512,0.0,0.1822,-33.4,-22.8
2071-2100,CanESM5,ssp585,0.2194,0.0,0.7254,0.0514,0.0,0.1827,-36.6,-22.5
2071-2100,MIROC6,ssp126,0.3087,0.0002,0.9973,0.0581,0.0,0.205,-10.9,-12.3
2071-2100,MIROC6,ssp245,0.2793,0.0,0.9089,0.0549,0.0,0.1946,-19.3,-17.2
2071-2100,MIROC6,ssp370,0.2582,0.0,0.8424,0.053,0.0,0.1891,-25.4,-20.0
2071-2100,MIROC6,ssp585,0.2414,0.0,0.7946,0.0523,0.0,0.1863,-30.3,-21.2
