year,breaks_ci,breaks_ci_lo,breaks_ci_hi,model,scenario,breaks_di,breaks_di_lo,breaks_di_hi,rate_ci,rate_ci_lo,rate_ci_hi,rate_di,rate_di_lo,rate_di_hi,pct_change_ci,pct_change_di
2026,42.06609243253229,0.0,138.0,CanESM5,ssp126,16.50373347126353,0.0,59.0,0.27806777123567084,0.0,0.9122157588577472,0.05124587322236773,0.0,0.1832013662474771,-19.7,-22.7
2027,40.966588188057415,0.0,133.0,CanESM5,ssp126,16.82602110950957,0.0,60.0,0.27079976327377986,0.0,0.8791644632469593,0.05224661111476345,0.0,0.1863064741499767,-21.8,-21.2
2028,40.391845595930086,0.0,131.0,CanESM5,ssp126,16.328920698496336,0.0,59.0,0.2670005658112777,0.0,0.865943945002644,0.050703060700190455,0.0,0.1832013662474771,-22.9,-23.5
2029,45.21519297700432,0.0,148.0,CanESM5,ssp126,18.084594561021706,0.0,65.0,0.29888414183635853,0.0,0.9783183500793231,0.056154617484929996,0.0,0.20183201366247477,-13.7,-15.3
2030,44.035328352895135,0.0,140.0,CanESM5,ssp126,16.853257365814947,0.0,59.0,0.2910849309419298,0.0,0.9254362771020624,0.052331182629451786,0.0,0.1832013662474771,-15.9,-21.0
2031,52.551348566143375,0.0,169.0,CanESM5,ssp126,20.10544064686772,0.0,70.0,0.34737803124103234,0.0,1.1171337916446324,0.062429562635825865,0.0,0.21735755317497282,0.3,-5.8
2032,50.36649807243562,0.0,161.0,CanESM5,ssp126,19.737664750477734,0.0,70.0,0.33293560333445016,0.0,1.0642517186673717,0.06128757879359644,0.0,0.21735755317497282,-3.8,-7.5
2033,43.355117751404094,0.0,140.0,CanESM5,ssp126,17.310603859521784,0.0,61.0,0.2865885626084353,0.0,0.9254362771020624,0.05375129284124137,0.0,0.18941158205247632,-17.2,-18.9
2034,54.688675299729546,0.0,174.0,CanESM5,ssp126,20.084022760829047,0.0,69.0,0.3615063147787516,0.0,1.1501850872554205,0.062363057788632346,0.0,0.21425244527247322,4.4,-5.9
2035,55.293734311001884,0.0,177.0,CanESM5,ssp126,20.1966478819874,0.0,70.0,0.36550591162745827,0.0,1.1700158646218932,0.06271277094236112,0.0,0.21735755317497282,5.6,-5.4
2036,43.3082111355488,0.0,141.0,CanESM5,ssp126,17.505009061590187,0.0,61.0,0.28627849772308833,0.0,0.93204653622422,0.054354941970471,0.0,0.18941158205247632,-17.3,-18.0
2037,42.54384193163993,0.0,138.0,CanESM5,ssp126,16.58472126646737,0.0,59.0,0.28122581922025336,0.0,0.9122157588577472,0.0514973490652612,0.0,0.1832013662474771,-18.8,-22.3
2038,43.01058983445278,0.0,139.0,CanESM5,ssp126,17.98040635198773,0.0,64.0,0.28431114380256994,0.0,0.9188260179799048,0.055831101853711325,0.0,0.19872690575997515,-17.9,-15.8
2039,41.890555790911954,0.0,135.0,CanESM5,ssp126,16.722019627877295,0.0,59.0,0.27690742854912714,0.0,0.8923849814912744,0.05192367529227541,0.0,0.1832013662474771,-20.0,-21.7
2040,41.35823684008546,0.0,133.0,CanESM5,ssp126,17.437986076336163,0.0,61.0,0.27338866234852893,0.0,0.8791644632469593,0.05414682836930962,0.0,0.18941158205247632,-21.0,-18.3
2041,40.66695270865104,0.0,132.0,CanESM5,ssp126,15.756431617206415,0.0,56.0,0.2688190951127118,0.0,0.8725542041248017,0.04892542032978238,0.0,0.17388604253997825,-22.4,-26.2
2042,46.94619689687333,0.0,152.0,CanESM5,ssp126,18.923941810826626,0.0,67.0,0.3103265262881632,0.0,1.0047593865679534,0.05876088126324057,0.0,0.208042229467474,-10.4,-11.3
2043,45.42073977540788,0.0,146.0,CanESM5,ssp126,17.802453162679807,0.0,63.0,0.30024285943553597,0.0,0.965097831835008,0.05527853799931628,0.0,0.19562179785747555,-13.3,-16.6
2044,41.374245465214244,0.0,136.0,CanESM5,ssp126,16.641430876095693,0.0,59.0,0.2734944835088197,0.0,0.8989952406134321,0.051673438522265774,0.0,0.1832013662474771,-21.0,-22.0
2045,39.24718626607208,0.0,129.0,CanESM5,ssp126,16.46777104751457,0.0,59.0,0.259434071034321,0.0,0.8527234267583289,0.051134206016191806,0.0,0.1832013662474771,-25.1,-22.8
2046,44.46080145208644,0.0,143.0,CanESM5,ssp126,18.497073639641396,0.0,66.0,0.29389741837709177,0.0,0.9452670544685352,0.057435409531567755,0.0,0.20493712156497437,-15.1,-13.3
2047,45.25105763038194,0.0,148.0,CanESM5,ssp126,17.981616990060832,0.0,64.0,0.299121216488511,0.0,0.9783183500793231,0.05583486101555917,0.0,0.19872690575997515,-13.6,-15.8
2048,41.15673301696911,0.0,134.0,CanESM5,ssp126,16.73212156651322,0.0,59.0,0.2720566698636245,0.0,0.8857747223691169,0.051955042901764385,0.0,0.1832013662474771,-21.4,-21.6
2049,38.946619201771526,0.0,127.0,CanESM5,ssp126,16.858760492591422,0.0,60.0,0.25744724485570813,0.0,0.8395029085140138,0.05234827043189387,0.0,0.1863064741499767,-25.6,-21.0
2050,40.27968061913589,0.0,132.0,CanESM5,ssp126,16.26642427380077,0.0,58.0,0.26625912625023723,0.0,0.8725542041248017,0.050509002557990276,0.0,0.18009625834497747,-23.1,-23.8
2051,40.755264079923215,0.0,133.0,CanESM5,ssp126,16.5594202528834,0.0,60.0,0.26940285616025395,0.0,0.8791644632469593,0.05141878668804036,0.0,0.1863064741499767,-22.2,-22.4
